Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34992959,"Defy Me (Shatter Me, #5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062676393""","=""9780062676399""",4,4.26,HarperTeen,Hardcover,357,2019,2019,2024/02/25,2024/02/24,,,read,,,,1,0
40863452,"Shadow Me (Shatter Me, #4.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062906267""","=""9780062906267""",3,3.96,HarperCollins,Kindle Edition,69,2019,2019,2024/02/24,2024/02/23,,,read,,,,1,0
34992929,"Restore Me (Shatter Me, #4)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062676369""","=""9780062676368""",3,4.13,HarperCollins,Hardcover,448,2018,2018,2024/02/23,2024/02/18,,,read,,,,1,0
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,"=""006208559X""","=""9780062085597""",4,4.45,HarperCollins ,Kindle Edition,408,2014,2014,2024/02/18,2024/02/10,,,read,,,,1,0
17331518,"Fracture Me (Shatter Me, #2.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062284835""","=""9780062284839""",2,3.33,HarperCollins,Kindle Edition,72,2013,2013,2024/02/10,2024/02/10,,,read,,,,1,0
13104080,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085530""","=""9780062085535""",4,4.10,HarperCollins ,Hardcover,480,2013,2013,2024/02/10,2024/01/05,,,read,,,,1,0
6435131,De Japanse tuin,Pieter Aspe,"Aspe, Pieter",,"=""9022317293""","=""9789022317297""",2,2.81,Manteau,Paperback,121,2002,2002,2024/02/07,2024/02/07,,,read,,,,1,0
61198133,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,"Black, Holly",,"=""0316592706""","=""9780316592703""",0,3.92,"Little, Brown Books for Young Readers",Hardcover,356,2023,2023,,2024/02/07,to-read,to-read (#28),to-read,,,,0,0
15984666,De dag dat we Andy zijn arm afzaagden,Marnix Peeters,"Peeters, Marnix",,"=""9085423910""","=""9789085423911""",4,3.48,De Bezige Bij,Paperback,297,2012,2012,2024/01/28,2024/01/03,,,read,,,,1,0
65916344,"Holly (Holly Gibney, #3)",Stephen  King,"King, Stephen",,"=""1668016133""","=""9781668016138""",0,4.07,Scribner,Hardcover,449,2023,2023,,2024/01/22,to-read,to-read (#27),to-read,,,,0,0
